;;;;;;;;;REGISTRO DE INGRESOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Codigo
Cliente";Ciudad;Zona;"Nombre Comercial o 
Nombre del Cliente";CodigoVendedor;Vendedor;ene-22;feb-22;mar-22;abr-22;may-22;jun-22;jul-22;ago-22;sep-22;oct-22;nov-22;dic-22;Total 2022;ene-23;feb-23;mar-23;abr-23;may-23;jun-23;jul-23;ago-23;sep-23;oct-23;nov-23;dic-23;Total 2023;ene-24;feb-24;mar-24;abr-24;may-24;jun-24;jul-24;ago-24;sep-24;oct-24;nov-24;dic-24;Total 2024;ene-25;feb-25;mar-25;abr-25;may-25;jun-25;jul-25;ago-25;sep-25;Total 2025;Total General
2558;La Paz;12 DE OCTUBRE;CASA DE PINTURAS SANTIAGO;15;ROLY CHALCO;135.39;0.0;360.75;345.83;394.72;248.89;237.85;526.29;566.07;668.44;366.9;204.66;4055.8;327.8;719.0;496.49;248.75;338.1;298.61;395.16;636.21;765.45;498.61;594.54;379.89;5698.59;200.0;552.51;520.57;455.98;432.51;501.73;305.06;283.54;822.65;333.47;455.1;602.37;5465.49;234.88;375.48;555.18;325.67;648.17;163.16;141.62;462.88;584.04;3491.06;18710.94
744;La Paz;12 DE OCTUBRE;FERRETERIA ESMERALDA;15;ROLY CHALCO;0.0;0.0;0.0;123.4;0.0;0.0;104.03;0.0;191.41;96.31;0.0;143.83;658.98;0.0;309.13;94.14;205.38;184.78;135.19;265.53;0.0;257.24;0.0;203.35;0.0;1654.73;180.63;276.09;0.0;102.13;0.0;91.84;0.0;263.27;179.3;175.16;0.0;171.51;1439.93;0.0;116.13;185.71;124.02;0.0;165.49;73.13;274.54;121.52;1060.56;4814.19
583;La Paz;12 DE OCTUBRE;FERRETERIA JHOANDOR ELECTRIC;15;ROLY CHALCO;0.0;0.0;0.0;0.0;0.0;91.56;0.0;173.96;62.81;0.0;0.0;74.63;402.96;237.19;0.0;0.0;110.8;0.0;107.49;51.16;0.0;136.42;141.39;135.52;79.54;999.51;0.0;86.47;108.27;95.26;165.56;50.61;141.31;324.14;155.5;0.0;181.31;107.99;1416.44;0.0;79.46;135.72;96.5;189.43;102.1;125.91;113.81;148.12;991.05;3809.95
2410;La Paz;12 DE OCTUBRE;VELA ELECTRIC;15;ROLY CHALCO;175.77;0.0;187.51;115.98;146.47;177.23;0.0;0.0;211.52;149.12;103.11;213.87;1480.58;0.0;225.05;230.45;416.71;158.67;0.0;0.0;379.33;236.09;677.04;209.38;146.84;2679.56;248.71;143.6;249.05;0.0;266.86;292.58;232.3;211.7;396.14;304.19;191.46;169.65;2706.23;211.16;266.22;181.32;157.99;140.93;182.05;128.46;228.46;204.22;1700.8;8567.17
703;La Paz;12 DE OCTUBRE;FERRETERIA ISRAEL;15;ROLY CHALCO;65.8;0.0;69.78;0.0;0.0;37.7;49.91;0.0;0.0;71.42;0.0;0.0;294.61;51.93;0.0;97.42;100.25;85.5;97.63;72.31;74.34;0.0;98.32;62.75;81.96;822.42;0.0;65.95;109.2;58.8;121.3;70.71;70.43;0.0;34.87;109.39;83.87;33.61;758.11;79.84;39.05;98.1;75.71;93.57;92.08;0.0;56.76;65.38;600.49;2475.64
1495;La Paz;12 DE OCTUBRE;FERRETERIA WILLIAM;15;ROLY CHALCO;159.54;175.07;180.2;180.54;370.61;103.02;120.17;168.85;244.73;126.71;232.01;298.32;2359.78;221.16;403.33;261.76;229.9;0.0;133.32;185.96;254.54;0.0;263.77;269.84;166.54;2390.13;0.0;194.34;189.38;159.18;482.01;0.0;284.59;278.82;315.11;155.58;168.21;272.98;2500.2;271.1;169.62;275.59;198.84;0.0;261.13;161.19;485.43;302.84;2125.75;9375.86
661;La Paz;12 DE OCTUBRE;FERRETERIA LUMINAR;15;ROLY CHALCO;0.0;0.0;0.0;81.87;0.0;41.21;0.0;0.0;188.35;0.0;101.77;0.0;413.2;0.0;142.76;0.0;0.0;217.97;0.0;108.96;142.66;203.88;125.25;162.65;130.33;1234.45;135.7;0.0;0.0;0.0;0.0;142.92;129.32;0.0;124.12;162.27;126.56;101.54;922.44;83.88;0.0;97.48;139.57;101.2;0.0;0.0;84.83;164.52;671.48;3241.58
581;La Paz;12 DE OCTUBRE;FERRETERIA VIRGO;15;ROLY CHALCO;0.0;174.07;71.35;0.0;0.0;152.17;0.0;175.26;0.0;167.78;156.41;0.0;897.05;196.58;204.05;216.71;195.29;560.21;281.76;205.01;0.0;415.64;343.39;157.2;0.0;2775.85;243.69;271.69;223.38;484.39;0.0;176.09;181.83;302.33;417.24;171.25;167.53;240.51;2879.94;116.81;238.16;158.29;251.25;139.45;0.0;150.69;211.14;0.0;1265.8;7818.64
949;La Paz;12 DE OCTUBRE;FERRETERIA BRAISA;15;ROLY CHALCO;42.95;52.06;52.6;63.54;39.26;0.0;0.0;0.0;56.91;0.0;0.0;55.65;362.96;0.0;0.0;0.0;71.1;88.34;76.0;79.52;40.75;25.81;0.0;70.77;31.17;483.47;14.55;59.83;82.15;0.0;0.0;74.94;41.95;47.37;58.84;73.82;46.89;28.34;528.67;47.47;59.25;0.0;42.86;49.68;64.98;47.95;59.9;44.07;416.16;1791.26
705;La Paz;12 DE OCTUBRE;FERRETERIA AGUILAR 2 (12 DE OCTUBRE);15;ROLY CHALCO;147.65;0.0;0.0;0.0;67.86;92.94;135.06;0.0;0.0;0.0;162.03;142.05;747.59;0.0;95.46;0.0;0.0;198.65;174.65;167.07;304.54;316.7;0.0;243.28;0.0;1500.35;0.0;0.0;205.9;201.22;146.21;101.69;134.38;168.19;109.92;0.0;204.96;179.78;1452.23;268.54;130.28;196.44;158.4;164.38;132.25;116.42;277.56;0.0;1444.27;5144.44
